Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;new_slope;Скорость;Продольный наклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;Обороты двигателя;Текущая нагрузка двигателя;incline;rec_hole;примечание;рекомендованная скорость_holes;nom_hole;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;Расход топлива_средний;Расход топлива;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;dist;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа;shtraf
60.6419495;59.71696433333334;1;-;0;0;840.0;4.612434442958845;15.838297872340426;4.847991827958749;5.530588873448105;368.23311260673853;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.2853468113732731;4.26282454174912;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64196016666666;59.7170385;1;-;0;0;844.0;4.576438629313519;15.88936170212766;4.810337444382495;5.505763211236234;368.6399442755762;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.31631354718974825;4.21837084805617;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64197166666667;59.71711016666666;1;-;0;0;848.0;4.527273559821194;15.940425531914894;4.777435318746844;5.482042287697199;369.0525654942765;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.35513379808704193;4.115530395235696;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.641984666666666;59.71718166666667;1;-;0;0;852.0;4.505120899397682;15.991489361702127;4.751747687238527;5.461375845333045;369.45590895932213;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.3047384010179883;4.161961965098224;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.641995666666666;59.717253;1;-;0;0;857.0;4.473237353968797;16.05531914893617;4.730663865228176;5.42331274060277;369.85100955275095;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.25807696717342066;4.081197146905584;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64200483333333;59.71732383333333;1;-;0;0;861.0;4.5636462803641;16.106382978723403;4.712908150303405;5.398677808997701;370.2205094803816;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.25924343200093913;3.998281158029283;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.642014;59.71739433333333;1;-;0;0;865.0;4.640794065675864;16.157446808510638;4.70190937133591;5.372538224126692;370.58966927195775;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.2389648696771216;3.980692964720469;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6420225;59.7174655;1;-;0;0;869.0;4.671673792353055;16.208510638297874;4.697179548734117;5.3326323511258185;370.93509190909765;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.2810432276759245;3.9976579524637215;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.642032666666665;59.71753733333333;1;-;0;0;873.0;4.656966165967806;16.259574468085106;4.696671936733873;5.283321055861271;371.2599833550378;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.23654501364502178;4.0805351334605335;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64204133333333;59.717610666666666;1;-;0;0;877.0;4.7736704917556905;16.31063829787234;4.708404959991812;5.231052280299021;371.5912215950146;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.14917891631542735;4.116949112445144;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64204716666666;59.71768983333333;1;point_30%;0;0;881.0;4.704142232327342;16.361702127659573;4.711464951984857;5.170834267102868;371.9235381386533;2.173281504330369;0;0;0;0;0;;;up;Объезд справа;добавили новую яму;0;10;0;0;0.17795288538792176;4.369197435835396;-;0.0;729.0;0;0;0;0;1;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6420545;59.717773;1;-;0;0;886.0;4.686400264568512;16.425531914893618;4.725613112679747;5.118612041582888;372.2629830655603;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.15762124051264959;4.611806316199896;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6420615;59.717862833333335;1;-;0;0;891.0;4.681351041297299;16.48936170212766;4.731463332879664;5.06290783017284;372.6118215371191;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.18521059322279232;4.9643629302597665;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.642070333333336;59.717959;1;-;0;0;896.0;4.685621024279627;16.5531914893617;4.740277761636342;4.99765489852051;372.96254884932057;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1580251274643747;5.33979806349509;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64207866666667;59.71806566666667;1;-;0;0;902.0;4.702010215367996;16.629787234042553;4.749937167417393;4.926635428931122;373.30513460702787;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1396529709618688;5.894981096281829;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6420865;59.71817933333333;1;-;0;0;908.0;4.641800998535689;16.706382978723404;4.7584263450624835;4.851507300021884;373.63260963959414;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.14326434661955445;6.26455539324823;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64209483333333;59.718297166666666;1;-;0;0;915.0;4.631981208180122;16.795744680851065;4.7607920133584924;4.779322723855712;373.95035822839134;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1464979862444975;6.497533637859421;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64210333333333;59.71841466666667;1;-;0;0;921.0;4.681716231485457;16.872340425531917;4.764389661618214;4.726563335603218;374.2661456071727;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1536584932936642;6.482208935624819;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
