Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;Скорость;Продольный наклон;уклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;rec_hole;примечание;рекомендованная скорость_holes;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;nom_point;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа
53.7470858;86.7723914;1;point_30%;0;0;749;30.905428261687256;3.022811241754807;2.0387033051154893;0.015121458815308936;0.7375094231053245;2.8376117878203897;0;0;0;0;0;Объезд справа;-;0;0.0;31.0;-0.8567913095593154;29.69563056481884;-;0;288.0;7;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74688420016889;86.77268680586609;1;-;0;0;760;30.869556223016907;2.712516264434365;2.4017823936417457;-0.018531846819964864;1.5046223329718824;0.0;0;0;0;0;0;Нет;;0;0.0;0.0;-1.02948373548307;10.858953465423163;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7468006;86.7727718;1;-;0;0;772;30.83042308992198;2.497276424061673;2.600905720597752;-0.03778980972445814;1.9221479406207078;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.7029633412175444;12.17831826211968;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74672987625328;86.77291293819593;1;-;0;0;787;30.781506673553316;2.325922895489032;2.804097310207218;-0.06111408340825543;2.352821232169985;0.0;0;0;0;0;0;Нет;;0;0.0;0.0;-0.8567871354038279;14.873856981160257;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7466289;86.7730609;1;point_30%;0;0;821;30.670629463117688;2.1604849120031067;3.1686123868606226;-0.10950235921821838;3.1298187901266425;5.289571000519617;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-0.644234186070519;33.5675724285974;-;0;288.0;8;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7464478;86.7734686;1;-;0;0;859;30.54670787498375;2.1983222139610796;3.5562155840055523;-0.174427847151927;3.962492592279442;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.5764488130632066;38.66777128517359;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74625847442827;86.77396105893467;1;-;0;0;864;30.53040240286086;2.393231886768125;4.100126094666238;-0.2720566075821498;5.14317378086626;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.7156370226095707;4.967042516638383;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7462292;86.774018;1;-;0;0;899;30.416264098000653;2.843752435353415;4.585322758864201;-0.37594795664350533;6.241936643989888;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.5775092604139513;34.84773568685529;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7460583;86.7744615;1;point_30%;0;0;911;30.377130964905724;3.4849631539728616;4.851688575471458;-0.45964736370787485;6.941158601099405;0.0;0;0;0;0;0;Объезд слева;-;0;0.0;0.0;-0.39625725417486524;12.019015748146018;-;0;288.0;9;0;1;0;0;0;240;7530G;95;6.3;10.2
53.7460166281064;86.77462992487672;1;-;0;0;912;30.373869870481148;4.087118574983067;5.052270657117921;-0.5357934903147414;7.566275699774521;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.5191526341045165;1.1506076129344596;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
