lat;lon;vel;acc_X;acc_Y;acc_Z;fb_tilt;tilt;hole;acc
53.734258;86.8369012;27.0;1.4652277615137281;1.3870248920002743;-0.0672988681553992;0.04252064851636583;-0.058121749770572;0;2.0187272182724194
53.7344494;86.8359406;24.0;-1.0677293121566092;1.4921177035069249;-0.0224329560517997;-0.002345263587233637;-0.0163148771285816;0;1.8349289802808246
53.7345705;86.8356265;19.0;-1.5289228300081283;1.4595898861630685;0.1345977363107984;0.017028653002957195;-0.0081574385642908;0;2.1180472625816393
53.7345773;86.8352749;20.0;0.1616854772199674;1.3645302728630075;0.0387478331803813;-0.025797899459569784;-0.0387478331803813;0;1.3746222949158131
53.7344593;86.8349009;25.0;2.4605709023436892;1.2842313773802518;-0.07545630671969;0.016008973182420783;-0.0769858264504945;0;2.776572176323207
53.7343092;86.834546;27.0;0.9540075989657804;1.1674472560198907;-0.0520036708473539;-0.0064239828693790635;-0.0520036708473539;0;1.5085648730679184
53.7341443;86.8341251;29.0;0.891708496474541;1.1119617724402482;-0.0418068726419904;-0.008463342510451666;-0.0509839910268175;0;1.4259561145608404
53.7339356;86.833686;30.0;1.516689358369402;0.9052669495850618;-0.0101967982053635;0.0211073722851024;-0.0601611094116447;0;1.7663405205383453
53.7336319;86.8331775;32.0;0.605137199720676;0.862593242467464;0.0091771183848271;0.013969613541347958;-0.0448659121035994;0;1.0537278357992463
53.7333399;86.8328343;34.0;1.2147612437829949;0.687264635609554;0.0071377587437544;-0.016620781074742297;-0.0571020699500356;0;1.3957179179034085
53.732623;86.8325782;36.0;0.2246324396444237;0.6915722085402678;-0.020393596410727;0.002753135515448202;-0.0387478331803813;0;0.7274254266524046
53.7321408;86.8325568;36.0;0.3988354749424743;0.29484110171332567;-0.0346691138982359;-0.021719180177424358;-0.0428265524625267;0;0.4971950912776649
53.7317555;86.8325299;38.0;1.7359435435816857;0.05479328379113313;-0.0035688793718772;0.031814010400734394;-0.0632201488732537;0;1.7368117420582827
53.7312568;86.832492;38.0;-0.23157974777487156;-0.1719699243705879;-0.0571020699500356;-0.022229020087692453;-0.0316100744366268;0;0.2940467324424429
53.7307685;86.8323877;38.0;-1.6518015645855053;-0.5079200048750145;-0.1040073416947078;-0.0013255837666972248;-0.0061180789232181;0;1.7312563840303257
53.7303634;86.8322898;39.0;0.04097981819836605;-0.8950509071967869;-0.0499643112062812;-0.0288569389211788;-0.0367084735393086;0;0.897380579446469
53.7299668;86.8321492;37.0;-0.8995797854367131;-0.31472018973358784;-0.0178443968593861;-0.008463342510451666;-0.0193739165901906;0;0.9532108951809057
53.7295855;86.8320239;37.0;-4.812359260534036;0.07713628246335169;-0.0387478331803813;0.025186091567248048;0.0479249515652085;0;4.813133392406254
53.7292016;86.8319472;36.0;-5.043036611252544;-0.05023537773522779;-0.0448659121035994;-0.015601101254206107;0.0540430304884266;0;5.043486374094673
53.728827;86.8318286;36.0;-2.054889257743666;-0.0930861468425146;-0.0632201488732537;-0.0625063729988784;0.0010196798205363;0;2.057967851922828
53.7284667;86.8317243;35.0;-2.4291672695266135;-0.08611007997139275;-0.0316100744366268;0.04761904761904756;0.0071377587437544;0;2.430898551157154
53.7279972;86.8316388;37.0;-2.6366357954240085;0.11640368249460153;-0.0438462322830631;-0.008463342510451666;0.0112164780258998;0;2.639568265284101
53.7276402;86.8315122;38.0;-3.0554232659197265;0.2868931250339024;-0.0499643112062812;-0.02273885999796077;0.0188640766799225;1;3.069269527348422
53.7271615;86.8312639;39.0;-2.060410472350409;0.4126917448394889;-0.0693382277964719;0.03538288977261139;0.0010196798205363;1;2.1024779619924328
53.7267797;86.8309845;39.0;-3.2142412507191143;0.28232897354537556;0.0397675130009177;-0.009483022330988078;0.0214132762312633;0;3.226861931074498
53.726396;86.8307544;39.0;-4.0033046417726705;0.20106478718985343;0.0071377587437544;0.00887121443866623;0.0346691138982359;0;4.008357026399494
53.7260142;86.8305006;39.0;-2.2311774578209915;0.15216033801571593;-0.0275313551544814;-0.01050270215152449;0.0040787192821454;0;2.2365293631585166
53.7255289;86.8301945;38.0;-4.895796503863789;0.22585091854894257;-0.0214132762312633;-0.027837259100642386;0.0520036708473539;1;4.901049945986395
53.725042;86.8299892;38.0;-1.5120973668519349;0.05323849642680356;0.0489446313857448;-0.016620781074742297;-0.0086672784745589;0;1.5138257367622696
53.7244079;86.8300463;45.0;-2.618618618479294;-0.0274123558155841;-0.061180789232181;-0.03701437748546965;0.0112164780258998;1;2.619476664387152
53.7239431;86.8301703;45.0;-1.0284425131032982;-0.07215799254183786;-0.0713775874375446;-0.019679820536351533;-0.0173345569491179;0;1.0334386961181103
53.7234892;86.830254;42.0;-0.083870941906808;-0.0160347585828986;-0.0244723156928724;-0.03599469766493324;-0.0346691138982359;0;0.0888276005221272
53.7226516;86.8303892;38.0;-1.8837455408612178;-0.11541765383154079;-0.037728153359845;-0.004384623228306239;-0.0020393596410727;0;1.8876551356342723
53.7222664;86.8304136;37.0;0.21563211844083208;-0.09213636653207091;-0.0565922300397674;-0.0263077393698381;-0.0397675130009177;0;0.24122396448505506
53.7217743;86.8304847;36.0;1.687100336493737;0.08187014781292912;-0.1050270215152442;-0.039053737126542476;-0.0672988681553992;1;1.6923477602870383
53.721414;86.830406;35.0;0.7142207389042112;0.10987685753380272;-0.0795350260018354;0.0030080554705822493;-0.0474151116549403;0;0.7269869380281145
53.721009;86.8301546;35.0;1.215388581674997;0.3362174056056886;-0.0642398286937901;0.003772815335984392;-0.0560823901294993;0;1.2626710988570176
53.7206179;86.8297379;33.0;0.29731686609971586;0.44386219787959647;0.003059039461609;-0.04211277658815127;-0.0418068726419904;0;0.5342474401401378
53.7203279;86.8294479;30.0;1.1598870907481298;0.8746696471968225;-0.0081574385642908;0.0211073722851024;-0.0540430304884266;0;1.4527393430397295
53.719947;86.8292206;31.0;0.5390223786869583;1.0687776550461323;0.037728153359845;0.011930253900275356;-0.0438462322830631;0;1.1976035296404233
53.7195139;86.8291971;33.0;0.8305853562183554;1.0822902117294626;-0.0367084735393086;-0.020189660446620072;-0.0504741511165493;0;1.3647606560856609
53.7190891;86.8292331;30.0;0.529539059209962;1.2916168773499472;-0.020393596410727;0.03079433058019798;-0.0428265524625267;0;1.3961023142516324
53.718792;86.8292432;28.0;1.7787350461348992;1.7245902997398812;-0.003059039461609;0.011930253900275356;-0.0652595085143265;0;2.477522840263606
