lat;lon;vel;class;acc_X;acc_Y;acc_Z;fb_tilt;tilt;acc
53.7273615;86.8313359;38.0;30.0;0.46141924246019;-0.7911848079277979;-0.0530233506678902;-1.011522381972061;-0.0081574385642907;0.9174380596663363
53.7268858;86.8310906;38.0;30.0;-2.253372511833577;-0.6891380820985299;0.0163148771285816;-1.0105027021515245;0.0397675130009177;2.3564518133204686
53.726528;86.8308352;36.0;0.0;-0.4648238808646183;-0.2361948981701292;0.0132558376669725;-1.0054043030488429;0.0081574385642908;0.5215601474191598
53.7261933;86.8306029;35.0;0.0;-0.6434117679283767;-0.246276962146807;-0.0040787192821454;-0.9987763842153564;0.0112164780258998;0.6889467912284385
53.7258387;86.8303763;36.0;0.0;-0.617148208682981;-0.1247853504681412;-0.020393596410727;-1.041093096767615;0.0112164780258998;0.629967613410906
53.7254833;86.8301745;36.0;30.0;-2.279618247670728;-0.1661129456203168;-0.0122361578464362;-1.0757622106658509;0.0428265524625267;2.285695209203288
53.7251382;86.829983;34.0;30.0;-0.8436563393301503;-0.1574881364712898;0.0372183134495768;-1.00336494340777;0.014785357397777;0.8590365154504086
53.7247769;86.8299289;36.0;0.0;-0.2730743617578868;-0.2537077257204321;-0.0183542367696543;-0.962577750586316;0.0045885591924135;0.37319444683315933
53.7244045;86.8299917;38.0;0.0;2.1868428771792585;-0.2475819462161014;-0.0662791883348628;-1.012542061792597;-0.0387478331803813;2.2018109638132284
53.7236116;86.8301716;37.0;0.0;0.9782898363590404;-0.2569673524856867;0.0336494340776996;-1.01458142143367;-0.0173345569491179;1.0120353297097144
53.7232495;86.8301935;36.0;30.0;0.9638098166328096;-0.1651350257491824;0.0326297542571632;-1.0298766187417152;-0.0173345569491179;0.9783985078841015
53.722901;86.8302802;33.0;30.0;1.2730137897389175;-0.2359849801869933;-0.0050983991026817;-1.009483022330988;-0.0224329560517997;1.2947119422530662
53.7225613;86.8302989;32.0;30.0;2.621321643114243;-0.3748635043387958;0.0112164780258998;-0.979912307535434;-0.0448659121035994;2.648013522043198
53.7222278;86.8303494;31.0;0.0;3.025056431535367;-0.3942482965792915;0.0112164780258998;-0.9839910268175792;-0.0520036708473539;3.0506595914176446
53.7219008;86.8303808;30.0;0.0;3.090658472973735;-0.3781547863881359;0.0061180789232181;-0.9442235138166616;-0.0509839910268175;3.1137129395501937
